month_end,ticker,permno,weight,composite_score,normalized_composite_score,mktcap
2010-02-28,PCG,13688,-0.0,124.0,1.85,15566321.28
2010-02-28,BMS,43772,-0.0,123.7,1.67,3166926.19
2010-02-28,AA,24643,-0.0,123.2,3.32,13569684.1
2010-02-28,S,39087,-0.0,119.2,2.94,9798015.51
2010-02-28,ORLY,79103,-0.0,116.6,3.02,5407562.1
2010-02-28,SWY,76149,-0.0,116.0,3.0,9676436.0
2010-02-28,WEC,23536,-0.0,115.3,2.5,5661515.43
2010-02-28,KSS,77606,-0.0,113.7,1.82,16501319.64
2010-02-28,AEE,24985,-0.0,113.0,1.2,5868723.84
2010-02-28,GAS,48274,-0.0,112.9,1.83,1884454.25
2010-02-28,CVX,14541,-0.0,112.4,2.55,145203921.9
2010-02-28,HD,66181,-0.0,110.9,2.0,53052854.4
2010-02-28,ETFC,83862,-0.0,109.9,3.53,3087962.29
2010-02-28,XEL,23931,-0.0,109.3,1.87,9502803.26
2010-02-28,NVLS,12067,-0.0,107.2,3.31,2120755.0
2010-02-28,ED,11404,-0.0,103.8,2.03,12027755.25
2010-02-28,NSM,51377,-0.0,103.0,1.14,3441490.56
2010-02-28,SCG,23085,-0.0,102.8,2.11,4438944.65
2010-02-28,EXPD,87717,-0.0,101.5,1.47,7736089.34
2010-02-28,SPLS,75489,-0.0,101.5,2.1,18778962.72
2010-02-28,VMC,15202,-0.0,99.4,1.98,5443657.41
2010-02-28,VZ,65875,-0.0,97.8,1.19,82037582.11
2010-02-28,PBCT,12073,-0.0,97.3,0.57,5900139.0
2010-02-28,AVY,44601,-0.0,96.3,3.22,3327480.0
2010-02-28,PCAR,60506,-0.0,92.7,2.83,12874293.25
2010-02-28,GPC,46674,-0.0,92.6,2.04,6405293.44
2010-02-28,BK,49656,-0.0,91.1,2.86,34457864.0
2010-02-28,SO,18411,-0.0,90.7,1.69,26063250.21
2010-02-28,AET,88845,-0.0,89.1,2.08,12925690.0
2010-02-28,DF,83421,-0.0,87.9,2.62,2645181.59
2010-02-28,BBY,85914,-0.0,85.5,2.58,15258168.0
2010-02-28,CHK,78877,-0.0,82.4,3.6,17217360.0
2010-02-28,COST,87055,-0.0,81.1,2.85,26849907.63
2010-02-28,AMAT,14702,-0.0,74.0,3.27,16441624.8
2010-02-28,SVU,44951,-0.0,72.2,3.04,3237316.35
2010-02-28,TSO,37284,-0.0,54.0,3.13,1671243.6
2010-02-28,KEY,64995,-0.0,46.7,3.48,6281525.25
2010-02-28,XOM,11850,-0.0,45.7,2.33,306882745.0
2010-02-28,ADM,10516,-0.0,30.7,3.41,18866471.76
2010-02-28,WFR,81776,-0.0,4.0,3.58,2707335.82
2010-03-31,AAPL,14593,0.11655425580210639,380.0,7.74,213764460.0
2010-03-31,MSFT,10107,0.09344591535052586,303.0,0.0,256617075.0
2010-03-31,WFC,38703,0.07261899891266717,330.5,2.77,161454636.72
2010-03-31,MRK,22752,0.060017952412357155,338.1,3.53,116357089.95
2010-03-31,FCX,81774,0.05392262483722813,384.2,8.16,35969400.1
2010-03-31,GS,86868,0.05279588017916927,342.9,4.01,89896927.39
2010-03-31,EBAY,86356,0.04878114588152863,374.5,7.19,35242612.21
2010-03-31,SNDK,82618,0.03713173111548953,371.1,6.85,7945784.24
2010-03-31,NWSA,90441,0.03163192599038125,346.9,4.41,26254717.39
2010-03-31,COF,81055,0.027042666643720344,343.1,4.03,18898447.34
2010-03-31,MWV,21186,0.026783097518291672,353.1,5.04,4378912.3
2010-03-31,MA,91233,0.024443358436814822,331.3,2.85,28052268.0
2010-03-31,CEG,24221,0.022579869115975423,342.8,4.0,7057110.0
2010-03-31,ISRG,88352,0.021862291942167406,336.6,3.38,13646696.0
2010-03-31,DO,82298,0.020383446509384274,334.6,3.18,12346899.06
2010-03-31,COG,76082,0.017732320326471672,335.5,3.27,3823888.0
2010-03-31,VRSN,85753,0.01691185537588543,333.2,3.04,4746308.2
2010-03-31,F,25785,0.016192620036246812,304.8,0.18,41982253.89
2010-03-31,PCP,63830,0.015989130355985228,321.8,1.89,17952019.38
2010-03-31,CTSH,86158,0.01581413952386803,323.4,2.05,15262392.4
2010-03-31,XTO,79212,0.015703334317740895,314.3,1.14,27522217.1
2010-03-31,RRD,38682,0.014727606874181927,329.1,2.62,4408775.0
2010-03-31,CF,90829,0.013076070686004884,325.8,2.29,4429615.58
2010-03-31,FLS,30940,0.01234313935673695,323.1,2.02,6144685.48
2010-03-31,PXD,75241,0.012324527519703216,322.8,1.99,6507776.0
2010-03-31,GLW,22293,0.011960305124254571,304.1,0.11,31326126.51
2010-03-31,WYNN,89533,0.01185145967258325,319.8,1.69,9350673.13
2010-03-31,NWL,60986,0.011643206295395772,323.1,2.02,4222560.0
2010-03-31,IP,21573,0.01140255317767134,317.9,1.5,10741182.16
2010-03-31,SBUX,77702,0.010202308689327639,310.2,0.72,18076296.0
2010-03-31,CI,64186,0.009412652787486634,314.4,1.15,10108956.16
2010-03-31,COH,88661,0.009297943723581325,312.5,0.96,12417223.52
2010-03-31,AGN,75646,0.00909454511472358,306.7,0.37,19866555.44
2010-03-31,EXPE,90808,0.007977463453538816,314.2,1.13,6443836.5
2010-03-31,CA,25778,0.007873537451355746,310.0,0.7,11957260.9
2010-03-31,AMT,86111,0.006901500994214913,304.3,0.13,17157726.09
2010-03-31,NOV,84032,0.006837082461389985,304.3,0.13,16980822.74
2010-03-31,NTAP,82598,0.0061274092802636815,307.2,0.42,11028001.24
2010-03-31,L,26710,0.005777834121005057,303.1,0.01,15728767.52
2010-03-31,THC,52337,0.004627357516981317,310.2,0.72,2766609.56
2010-03-31,TLAB,75257,0.0030703484943611203,307.0,0.4,2908969.32
2010-03-31,CBG,90199,0.002762427106757447,304.8,0.18,5100847.0
2010-03-31,AMD,61241,0.0023701595144756007,303.2,0.02,6232693.77
2010-03-31,ORLY,79103,-0.0,120.6,3.02,5751058.22
2010-03-31,BMS,43772,-0.0,119.2,1.4,3130824.64
2010-03-31,S,39087,-0.0,119.0,2.94,11297054.2
2010-03-31,HD,66181,-0.0,118.6,1.75,54779613.7
